title,venue,year,authors,doi,Label,id
Tabled CLP for Reasoning Over Stream Data.,iclp,2016,"Edmond Jajaga, Lule Ahmedi",10.1109/icsc.2017.64,1,299
"XAI-LAW: A Logic Programming Tool for Modeling, Explaining, and Learning Legal Decisions.",iclp,2025,"Agostino Dovier, Talissa Dreossi, Andrea Formisano, Benedetta Strizzolo",10.4204/eptcs.439.28,5,92
"Workshop Proceedings of the 40th International Conference on Logic Programming (ICLP-WS 2024) co-located with the 40th International Conference on Logic Programming (ICLP 2024), Dallas, TX, USA, October 12th and 13th, 2024.",iclp,2024,"Esteban Guerrero, Juan Carlos Nieves",10.1007/978-3-031-74209-5_21,1,311
Probabilistic Active Goal Recognition.,kr,2025,"Chenyuan Zhang, Cristian Rojas Cardenas, Hamid Rezatofighi, Mor Vered, Buser Say",10.24963/kr.2025/85,5,136
Heuristic Strategies for Accelerating Multi-Agent Epistemic Planning.,kr,2024,"Biqing Fang, Fangzhen Lin",10.24963/kr.2024/32,1,41
Succinctness and Complexity of ALC with Counting Perceptrons.,kr,2023,"Pietro Galliani, Oliver Kutz, Nicolas Troquard",10.24963/kr.2023/29,3,235
Action Languages and COVID-19: Lessons Learned.,iclp,2020,,10.1515/9781503629882-011,2,518
"Flexible, Lifelong, Explainable, and Robust Solutions for Multi-Agent Path Finding Problems.",iclp,2025,Aysu Bogatarkan,10.1609/aaai.v40i48.42143,4,403
Planning Domain Model Acquisition from State Traces without Action Parameters.,kr,2024,"Tomáš Balyo, Martin Suda, Lukáš Chrpa, Dominik Šafránek, Stephan Gocht, Filip Dvořák, Roman Barták, G. Michael Youngblood",10.24963/kr.2024/76,1,569
CHRvis: Syntax and Semantics.,iclp,2018,,10.1016/s0092-4563(08)36021-8,1,342
Exploring Neurosymbolic Systems in Answer Set Programming with an Application to Waste Water Monitoring.,iclp,2025,"Steffen Schieweck, Gabriele Kern-Isberner, Michael ten Hompel",10.5220/0006489300250034,5,510
On Simple Expectations and Observations of Intelligent Agents: A Complexity Study.,kr,2023,"Sourav Chakraborty, Avijeet Ghosh, Sujata Ghosh, François Schwarzentruber",10.24963/kr.2023/14,4,451
"Proceedings 38th International Conference on Logic Programming, ICLP 2022 Technical Communications / Doctoral Consortium, Haifa, Israel, 31st July 2022 - 6th August 2022.",iclp,2022,,10.1007/978-3-031-26622-5,1,29
Testing of Concurrent Programs.,iclp,2016,Valerio Terragni,10.14711/thesis-b1778938,1,134
Determining Action Reversibility in STRIPS Using Answer Set Programming.,iclp,2020,"WOLFGANG FABER, MICHAEL MORAK, LUKÁŠ CHRPA",10.1017/s1471068421000429,3,321
Domain-Independent Instance Generation for Classical Planning.,kr,2025,"Claudia Grundke, Malte Helmert, Gabriele Röger",10.24963/kr.2025/77,5,171
On Teaching Constraint-based Modeling and Algorithms for Decision Support in Prolog.,iclp,2024,"Huaiqing Wang, Stephen Liao, Lejian Liao",10.1016/s0167-9236(01)00138-5,4,357
Relational Graph Convolutional Networks Do Not Learn Sound Rules.,kr,2024,"Matthew Morris, David J. Tena Cucala, Bernardo Cuenca Grau, Ian Horrocks",10.24963/kr.2024/84,4,13
On the Correspondence Between Monotonic Max-Sum GNNs and Datalog.,kr,2023,"David Tena Cucala, Bernardo Cuenca Grau, Boris Motik, Egor V. Kostylev",10.24963/kr.2023/64,4,417
Contracted Temporal Equilibrium Logic.,kr,2024,"Pedro Cabalar, Thomas Eiter, Davide Soldà",10.24963/kr.2024/21,3,404
Improving Candidate Quality of Probabilistic Logic Models.,iclp,2018,Alex M. Andrew,10.1108/k.2000.06729iae.003,3,481
Extracting Policies from Quantified Answer Set Programs.,iclp,2025,"Martín Diéguez, Igor Stéphan",10.4204/eptcs.439.16,5,74
On Combining Collective Entity Resolution and Repairing (Extended Abstract).,kr,2023,"Meghyn Bienvenu, Gianluca Cima, Víctor Gutiérrez-Basulto",10.24963/ijcai.2023/349,3,361
Navigating and Querying Answer Sets: How Hard Is It Really and Why?,kr,2024,"Dominik Rusovac, Markus Hecher, Martin Gebser, Sarah Alice Gaggl, Johannes K. Fichte",10.24963/kr.2024/60,5,409
Explanations for Unrealizability of Infinite-State Safety Shields.,kr,2025,"Andoni Rodríguez, Irfansha Shaik, Davide Corsi, Roy Fox, César Sánchez",10.24963/kr.2025/83,2,56
Emerson-Lei and Manna-Pnueli Games for LTLf+ and PPLTL+ Synthesis.,kr,2025,"Daniel Hausmann, Shufang Zhu, Gianmarco Parretti, Christoph Weinhuber, Giuseppe De Giacomo, Nir Piterman",10.24963/kr.2025/78,1,203
Commonsense Reasoning-Aided Autonomous Vehicle Systems.,iclp,2024,Keegan Kimbrell,10.4204/eptcs.416.36,1,103
Precise Exponential-Time Complexity of Non-Monotonic Reasoning.,iclp,2025,Georg Gottlob,10.7551/mitpress/4307.003.0022,3,448
Semantically Guided Scene Generation via Contextual Reasoning and Algebraic Measures.,iclp,2023,Wenhao Ding,10.1109/tits.2024.3510515/mm1,2,269
Cumulative Scoring-Based Induction of Default Theories.,iclp,2018,,10.1002/eng2.70433/v1/review2,1,3
Theory Revision with Goal-directed ASP.,iclp,2021,,10.1017/cbo9781107257115.023,5,424
Lazy Stream Programming in Prolog.,iclp,2019,"Paul Tarau, Jan Wielemaker, Tom Schrijvers",10.4204/eptcs.306.26,4,263
ASP Chef: Draw and Expand.,kr,2024,"Mario Alviano, Luis Angel Rodriguez Reiners",10.24963/kr.2024/68,5,320
Product Configuration in Answer Set Programming.,iclp,2021,Seemran Mishra,10.4204/eptcs.345.46,4,172
An Implementation of a Non-monotonic Logic in an Embedded Computer for a Motor-glider.,iclp,2019,"José Luis Vilchis Medina, Pierre Siegel, Vincent Risch, Andrei Doncescu",10.4204/eptcs.306.37,2,579
aspmc: An Algebraic Answer Set Counter.,iclp,2021,"Thomas Eiter, Markus Hecher, Rafael Kiesel",10.1016/j.artint.2024.104109,3,493
A Category-Theoretic Perspective on Approximation Fixpoint Theory.,iclp,2024,Samuele Pollaci,10.4204/eptcs.416.37,4,326
Dialectical Reconciliation via Structured Argumentative Dialogues.,kr,2024,"Stylianos Loukas Vasileiou, Ashwin Kumar, William Yeoh, Tran Cao Son, Francesca Toni",10.24963/kr.2024/73,1,543
