title,venue,year,authors,doi,Label,id,abstract,llm_score,llm_reason
tabled clp for reasoning over stream data,iclp,2016,"edmond jajaga, lule ahmedi",10.1109/icsc.2017.64,1,299,semantic technologies have been extensively used for integrating stream data applications however using swrl which has become the de facto standard rule language in semantic web has never been used in stream data applications its open world assumption and monotonic nature makes swrl powerless for doing continuous inference over stream data for example using aggregate functions on a particular window of streams cannot be expressed in swrl c-sparql is a framework which supports continuous querying over data streams we introduce here c-swrl a unified semantic web stream reasoning system that further supports continuous reasoning over stream data c-swrl utilizes c-sparql filtering and aggregation of rdf streams to enable closed-world and time-aware reasoning with swrl rules moreover the non-monotonic behavior is supported with the use of owlapi constructs the system is presented by means of examples in water quality monitoring,3,"Relevant to ASP researchers as it deals with rule languages and reasoning over streams, but not central to ASP."
xai-law: a logic programming tool for modeling explaining and learning legal decisions,iclp,2025,"agostino dovier, talissa dreossi, andrea formisano, benedetta strizzolo",10.4204/eptcs.439.28,5,92,we propose an approach to model articles of the italian criminal code icc using answer set programming asp and to semi-automatically learn legal rules from examples based on prior judicial decisions the developed tool is intended to support legal experts during the criminal trial phase by providing reasoning and possible legal outcomes the methodology involves analyzing and encoding articles of the icc in asp including crimes against the person and property offenses the resulting model is validated on a set of previous verdicts and refined as necessary during the encoding process contradictions may arise these are properly handled by the system which also generates possible decisions for new cases and provides explanations through a tool that leverages the supportedness of stable models the automatic explainability offered by the tool can also be used to clarify the logic behind judicial decisions making the decision-making process more interpretable furthermore the tool integrates an inductive logic programming system for asp which is employed to generalize legal rules from case examples,4,"Relevant to ASP researchers as it uses Answer Set Programming and focuses on legal reasoning, but not a core ASP contribution."
workshop proceedings of the 40th international conference on logic programming iclp-ws 2024 co-located with the 40th international conference on logic programming iclp 2024 dallas tx usa october 12th and 13th 2024,iclp,2024,"esteban guerrero, juan carlos nieves",10.1007/978-3-031-74209-5_21,1,311,traditionally in the argumentation theory literature structured arguments are constructed from rules interpretations aiming to build well-supported deductive evidence different from other approaches we emphasize the role of investigating general frameworks that,3,"Focuses on argumentation theory and frameworks, which is relevant but not central to ASP."
probabilistic active goal recognition,kr,2025,"chenyuan zhang, cristian rojas cardenas, hamid rezatofighi, mor vered, buser say",10.24963/kr.2025/85,5,136,in multi-agent environments effective interaction hinges on understanding the beliefs and intentions of other agents while prior work on goal recognition has largely treated the observer as a passive reasoner active goal recognition agr focuses on strategically gathering information to reduce uncertainty we adopt a probabilistic framework for agr and propose an integrated solution that combines a joint belief update mechanism with a monte carlo tree search mcts algorithm allowing the observer to plan efficiently and infer the actor s hidden goal without requiring domain-specific knowledge through comprehensive empirical evaluation in a grid-based domain we show that our joint belief update significantly outperforms passive goal recognition and that our domain-independent mcts performs comparably to our strong domain-specific greedy baseline these results establish our solution as a practical and robust framework for goal inference advancing the field toward more interactive and adaptive multi-agent systems,3,Relevant to AI/active reasoning but not central to ASP
heuristic strategies for accelerating multi-agent epistemic planning,kr,2024,"biqing fang, fangzhen lin",10.24963/kr.2024/32,1,41,multi-agent epistemic planning mep is about achieving an epistemic goal in a multi-agent environment using agents actions that have epistemic preconditions and effects recently mep has received interest from both the dynamic logic and planning communities leading to the development of several innovative planners one such state of the art planner is mepk in this paper we propose two novel strategies to enhance the search methods within mepk our first strategy the enhancement strategy dynamically updates the heuristic based on the search path to the first goal-reachable node potentially reducing the number of nodes that need to be explored to find a solution our second the belief lock strategy prevents the planner from continuing to search a particular state that cannot progress to a goal state due to the possession by an agent of a certain belief our experiments on existing benchmarks show that the new strategies can indeed accelerate the problem solving we also construct new harder instances and demonstrate that our strategies significantly improve the performance on these hard benchmarks overall we consider our new planner a significant improvement over the existing one in terms of computational efficiency,3,Relevant to planning but not central to ASP
succinctness and complexity of alc with counting perceptrons,kr,2023,"pietro galliani, oliver kutz, nicolas troquard",10.24963/kr.2023/29,3,235,perceptron operators have been introduced to knowledge representation languages such as description logics in order to define concepts by listing features with associated weights and by giving a threshold semantically an individual then belongs to such a concept if the weighted sum of the listed features it belongs to reaches that threshold such operators have been subsequently applied to cognitively-motivated modelling scenarios and to building bridges between learning and reasoning however they suffer from the basic limitation that they cannot consider the weight or number of role fillers this paper introduces an extension of the basic perceptron operator language to address this shortcoming defining the language alcp and answering some basic questions regarding the succinctness and complexity of the new language namely we show firstly that in alcp when weights are positive the language is expressively equivalent to alcq whilst it is strictly more expressive in the general case allowing also negative weights secondly alcp is shown to be strictly more succinct than alcq thirdly capitalising on results concerning the logic alcscc we show that despite the added expressivity reasoning in alcp remains exptime-complete,3,"While the paper introduces an extension of perceptron operators, it is focused on description logics rather than ASP. It may be relevant for researchers interested in knowledge representation and logic programming, but not specifically for ASP."
action languages and covid-19: lessons learned,iclp,2020,,10.1515/9781503629882-011,2,518,10 lessons learned was published in the biomedical empire on page 120,1,Not related to ASP or logic programming.
flexible lifelong explainable and robust solutions for multi-agent path finding problems,iclp,2025,aysu bogatarkan,10.1609/aaai.v40i48.42143,4,403,the multi-agent path finding mapf problem is a combinatorial search problem that aims at finding paths for multiple agents in an environment without collisions subject to constraints on the lengths of paths the real-world applications of mapf require flexible lifelong robust and explainable solutions in this study these challenges are being addressed,3,Relevant to AI planning but not central to ASP
planning domain model acquisition from state traces without action parameters,kr,2024,"tom balyo, martin suda, luk chrpa, dominik afrnek, stephan gocht, filip dvok, roman bartk, g michael youngblood",10.24963/kr.2024/76,1,569,existing planning action domain model acquisition approaches consider different types of state traces from which they learn the differences in state traces refer to the level of observability of state changes from full to none and whether the observations have some noise the state changes might be inaccurately logged however to the best of our knowledge all the existing approaches consider state traces in which each state change corresponds to an action specified by its name and all its parameters all objects that are relevant to the action furthermore the names and types of all the parameters of the actions to be learned are given these assumptions are too strong in this paper we propose a method that learns action schema from state traces with fully observable state changes but without the parameters of actions responsible for the state changes only action names are part of the state traces although we can easily deduce the number and names of the actions that will be in the learned domain model we still need to deduce the number and types of the parameters of each action alongside its precondition and effects we show that this task is at least as hard as graph isomorphism however our experimental evaluation on a large collection of ipc benchmarks shows that our approach is still practical as the number of required parameters is usually small compared to the state-of-the-art learning tools sam and extended sam our new algorithm can provide better results in terms of learning action models more similar to reference models even though it uses less information and has fewer restrictions on the input traces,3,"Relevant to ASP researchers as it deals with planning and action domain model acquisition, which are related to nonmonotonic reasoning and logic programming, but not specifically focused on ASP."
chrvis: syntax and semantics,iclp,2018,,10.1016/s0092-4563(08)36021-8,1,342,,4,"Introduces a new syntax and semantics for ASP, relevant to core ASP theory"
exploring neurosymbolic systems in answer set programming with an application to waste water monitoring,iclp,2025,"steffen schieweck, gabriele kernisberner, michael ten hompel",10.5220/0006489300250034,5,510,intelligent self-driving vehicles on public roads are widely noted in the media nowadays in warehouse and production systems such vehicles have been common for a number of years even though their intelligence has only come to awareness in the recent years those systems are especially tailored to work in volatile environments which change to some degree every few weeks or months thus programming is required to be as flexible as possible while still providing high efficiency answer set programming is a well known paradigm which has received remarkable attention in the recent years in this paper several approaches are presented and evaluated to apply answer set programming to an order-picking system with intelligent vehicles the interconnected planning tasks are the dispatching of vehicles to driving jobs and the assignment of customer orders to picking stations,4,"Relevant to ASP researchers as it applies ASP to a real-world problem and discusses planning tasks, which is central to ASP."
on simple expectations and observations of intelligent agents: a complexity study,kr,2023,"sourav chakraborty, avijeet ghosh, sujata ghosh, franois schwarzentruber",10.24963/kr.2023/14,4,451,public observation logic pol reasons about agent expectations and agent observations in various real world situations the expectations of agents take shape based on certain protocols about the world around and they remove those possible scenarios where their exceptions and observations do not match this in turn influences the epistemic reasoning of these agents in this work we study the computational complexity of the satisfaction problems of various fragments of pol in the process we also highlight the inevitable link that these fragments have with the well-studied public announcement logic,3,"Relevant to ASP researchers as it deals with epistemic reasoning and public announcement logic, which are related to nonmonotonic reasoning and knowledge representation."
proceedings 38th international conference on logic programming iclp 2022 technical communications / doctoral consortium haifa israel 31st july 2022 - 6th august 2022,iclp,2022,,10.1007/978-3-031-26622-5,1,29,the dali 2022 proceedings deal with the field of dynamic logic its variants and applications e g quantum dynamic logic kleene and action algebras,3,"While related to logic programming, it focuses on dynamic logic rather than ASP."
